,Title,Artist,Streams,Date,Followers
223,Solo (feat. Demi Lovato),Clean Bandit,610071,2019-05-02,3292879
224,Bola Rebola,Tropkillaz,646513,2019-05-04,165670
225,Te Boté - Remix,Nio Garcia,623148,2019-05-04,784288
226,Leave Me Alone,Flipp Dinero,558600,2019-05-05,411983
227,MIDDLE CHILD,PnB Rock,617510,2019-05-06,2092659
228,Best Part (feat. Daniel Caesar),H.E.R.,594915,2019-05-08,1783572
229,Just You and I,Tom Walker,634496,2019-05-09,513246
230,Floating (feat. 21 Savage),ScHoolboy Q,619607,2019-05-09,2756517
231,Bad,James Bay,757766,2019-05-10,2514052
232,Shotgun,George Ezra,551411,2019-05-12,2645122
233,Hey Julie! (feat. Lil Yachty),KYLE,616856,2019-05-14,786745
234,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,610517,2019-05-15,679759
235,i,Lil Skies,688077,2019-05-16,3166316
236,Chlorine,Twenty One Pilots,613989,2019-05-16,14698277
237,"You Stay (feat. Meek Mill, J Balvin, Lil Ba",& Jeremih),723894,2019-05-17,0
238,Too Late For Love,John Lundvik,654595,2019-05-19,18107
239,She Got Me,Luca Hänni,718737,2019-05-20,34248
240,Spirit in the Sky,Keiino,660904,2019-05-20,14575
241,Letzte Träne,Kontra K,648433,2019-05-20,1264026
242,DEUTSCHLAND,Rammstein,659686,2019-05-21,3449703
243,I Don't Belong In This Club,Why Don't We,787282,2019-05-23,1587125
244,Power is Power (feat. The Weeknd & Travis Scott),SZA,736534,2019-05-23,2833339
245,Purple Emoji (feat. J. Cole),Ty Dolla $ign,873480,2019-05-24,2941542
246,One Touch,Jess Glynne,837982,2019-05-24,1792687
247,Punto G,KAROL G,626426,2019-05-30,6638590
248,Spicy - with Diplo & Charli XCX,Herve Pagez,842008,2019-05-31,3593
249,Glad He's Gone,Tove Lo,774221,2019-05-31,2171381
250,Love Thru The Computer (feat. Justin Bieber),Gucci Mane,700210,2019-06-03,2885954
251,Love Someone,Lukas Graham,614206,2019-06-04,1465987
252,MOWGLI II,PNL,826024,2019-06-06,2332312
253,Broke Leg (with Quavo & Tyga),Tory Lanez,654558,2019-06-06,2497034
254,Mo Bamba,Sheck Wes,644197,2019-06-06,654016
255,Faucet Failure,Ski Mask The Slump God,641846,2019-06-06,2571091
256,NENENE,Fero47,753790,2019-06-07,208774
257,Beer Never Broke My Heart,Luke Combs,646668,2019-06-08,1736976
258,Earth,Lil Dicky,585829,2019-06-09,1372353
259,Government Official,Future,585232,2019-06-09,8060619
260,ReBoTa,Guayna,583532,2019-06-09,4
261,Arcade,Duncan Laurence,712024,2019-06-13,47660
262,Civil War,Russ,642825,2019-06-13,2709426
263,Tricheur,Nekfeu,619305,2019-06-13,999259
264,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,757023,2019-06-14,4840703
265,Faz Gostoso (feat. Anitta),Madonna,746253,2019-06-14,3404272
266,Let You Know,Flume,710420,2019-06-14,1838664
267,Another Place,Bastille,697663,2019-06-14,3862015
268,Vermissen,Juju,682174,2019-06-14,160875
269,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,591838,2019-06-16,3715849
270,Soldi,Mahmood,575258,2019-06-16,313936
271,Just Us (feat. SZA),DJ Khaled,641303,2019-06-17,4231616
272,Sad Song (feat. TINI),Alesso,666029,2019-06-18,3052578
273,Bounce Back,Little Mix,637363,2019-06-18,6493436
274,Maghreb Gang (feat. French Montana & Khaled),Farid Bang,665665,2019-06-19,611760
275,Love Me Less (feat. Quinn XCII),MAX,659510,2019-06-19,342143
276,That's Life (feat. Mac Miller & Sia),88-Keys,649733,2019-06-22,11790
277,Date La Vuelta,Luis Fonsi,565715,2019-06-23,7159424
278,a lot,21 Savage,563319,2019-06-23,6760930
279,Walk Me Home,P!nk,558640,2019-06-23,7142235
280,weR mAChT PaRA 2,Dardan,677755,2019-06-24,532641
281,Royal Rumble,Kalazh44,621085,2019-06-24,46031
282,Out The Mud,Lil Ba,617594,2019-06-26,1
283,Envy Me,Calboy,675319,2019-06-27,205899
284,Isis,Joyner Lucas,641132,2019-06-27,891638
285,Tú No Amas,Mambo Kingz,634365,2019-06-27,85202
286,All the Time,Zara Larsson,627200,2019-06-27,5948381
287,SUPERPOSITION,Daniel Caesar,756271,2019-06-28,1552739
288,Swing,Danny Ocean,635522,2019-06-29,1872384
289,Evoluiu,MC Kevin o Chris,587846,2019-06-30,622799
290,Sweet Home Alabama,Lynyrd Skynyrd,702508,2019-07-04,2309713
291,Clout (feat. Cardi B),Offset,680165,2019-07-04,1249727
292,Yallah Good,e (feat. Gringo),613953,2019-07-06,444911
293,Speechless (Full),Naomi Scott,557807,2019-07-07,94666
294,Aullando,Wisin & Yandel,623843,2019-07-10,3075044
295,MEGATRON,Nicki Minaj,637994,2019-07-11,16263990
296,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,700996,2019-07-12,149645
297,I Love You 3000,Stephanie Poetri,588281,2019-07-14,58440
298,Raffaello,Shindy,568141,2019-07-14,536257
299,Thing For You (With Martin Solveig),David Guetta,667739,2019-07-18,20017220
300,Gone,Charli XCX,704748,2019-07-19,1819370
301,Neptun,KC Rebell,657643,2019-07-22,835563
302,YOSHI (feat. Fabri Fibra) - prod. Strage,MACHETE,619028,2019-07-22,559291
303,IDGAF,Dua Lipa,612928,2019-07-24,13590677
304,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,664942,2019-07-25,588842
305,Vossi Bop,Stormzy,635714,2019-07-25,1041453
306,Homicide (feat. Eminem),Logic,626433,2019-07-25,4096941
307,ZEZE,Kodak Black,620643,2019-07-25,5115472
308,Nummer,Ufo361,850903,2019-07-26,1126709
309,Mein Kopf,MERO,752959,2019-07-26,835355
310,Caught Up (feat. Khalid),Majid Jordan,725304,2019-07-26,435789
311,Flash Pose,Pabllo Vittar,688392,2019-07-26,2483959
312,MOOD 4 EVA (feat. Oumou Sangaré),Beyoncé,632466,2019-07-29,20350283
313,Ela,Reynmen,610038,2019-07-29,707768
314,Mekanın Sahibi,Norm Ender,629792,2019-07-31,589080
315,BROWN SKIN GIRL,Blue Ivy,651372,2019-08-01,2021
316,The Bones,Maren Morris,642262,2019-08-01,385030
317,RNP (feat. Anderson .Paak),YBN Cordae,612319,2019-08-01,719743
318,OMG (with Carly Rae Jepsen),Gryffin,772189,2019-08-02,344100
319,On A Roll,Ashley O,548919,2019-08-04,53674
320,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,591719,2019-08-05,9330859
321,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,625131,2019-08-08,1668981
322,What I Like About You (feat. Theresa Rex),Jonas Blue,609880,2019-08-08,2318154
323,Hair Down (feat. Kendrick Lamar),SiR,836022,2019-08-09,190723
324,Naeem,Bon Iver,781309,2019-08-09,2431905
325,Birth Of The Cruel,Slipknot,727928,2019-08-09,4984065
326,Rooting For You,Alessia Cara,675290,2019-08-09,6082351
327,Te Vi,Piso 21,602660,2019-08-10,4251392
328,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,589705,2019-08-12,143809
329,Find U Again (feat. Camila Cabello),Mark Ronson,586224,2019-08-12,680050
330,Gold Roses (feat. Drake),Rick Ross,584685,2019-08-12,3459469
331,Snake Skin,Trippie Redd,584439,2019-08-12,3481753
332,Daddy (feat. Rich The Kid),Blueface,596968,2019-08-13,1217837
333,Hot Shower,Chance the Rapper,593884,2019-08-13,4379848
334,Sanguine Paradise,Lil Uzi Vert,685217,2019-08-15,7032312
335,In Your Arms (with X Ambassadors),ILLENIUM,706574,2019-08-16,680415
336,Lençol Dobrado,João Gustavo e Murilo,630047,2019-08-17,86132
337,Jet Lag,A$AP Ferg,609029,2019-08-17,2105915
338,Mr. Brightside,The Killers,603725,2019-08-17,4865730
339,All For Us - from the HBO Original Series Euphoria,Labrinth,632125,2019-08-21,933792
340,Every Breath You Take,The Police,626399,2019-08-22,3022731
341,Don't Stop Believin',Journey,614061,2019-08-22,2429719
342,Te Soñé de Nuevo,Ozuna,605951,2019-08-22,19282455
343,People,The 1975,763604,2019-08-23,3500229
344,Intro-Résumé,Miami Yacine,709242,2019-08-23,575121
345,Contra La Pared,Sean Paul,648013,2019-08-24,2674035
346,My Type,Saweetie,562563,2019-08-25,442105
347,Kill This Love,BLACKPINK,559859,2019-08-25,9051059
348,One Kiss (with Dua Lipa),Calvin Harris,615075,2019-08-26,18365636
349,Body (feat. Brando),Loud Luxury,621642,2019-08-27,184587
350,NO HALO,BROCKHAMPTON,658367,2019-08-28,996475
351,Tap (feat. Meek Mill),NAV,634473,2019-08-28,1592187
352,I'm Yours,Jason Mraz,643148,2019-08-29,4784865
353,Fendi Drip,Luciano,758571,2019-08-30,411142
354,Not 20 Anymore,Bebe Rexha,749279,2019-08-30,4134646
355,Fear Inoculum,TOOL,667663,2019-08-31,946671
356,On My Way,Alan Walker,583411,2019-09-01,14305441
357,Bezerk (feat. A$AP Ferg & Hit-Boy),Big Sean,696136,2019-09-03,6612320
358,Time - Edit,NF,656465,2019-09-04,2436671
359,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,647958,2019-09-04,324415
360,Carry Me Away,John Mayer,904926,2019-09-06,4098425
361,Méchant,Niska,706008,2019-09-06,2361578
362,Susamam,Şanışer,674744,2019-09-07,395484
363,Taste (feat. Offset),Tyga,644369,2019-09-07,5097573
364,Show & Tell,Melanie Martinez,656863,2019-09-10,5005086
365,Rebota - Remix,Guaynaa,670302,2019-09-12,124928
366,Won't Be Late (feat. Drake),Swae Lee,647422,2019-09-12,508818
367,Mother,Charlie Puth,779645,2019-09-13,8030749
368,Sentou e Gostou,MC JottaPê,677929,2019-09-14,62823
369,Huracan,Samra,663968,2019-09-14,338829
370,Tijolão - Ao Vivo,Jorge & Mateus,591593,2019-09-15,10690159
371,Bellacoso,Residente,579456,2019-09-15,502441
372,Doin' Time,Lana Del Rey,629943,2019-09-16,9103170
373,CANGURO,WOS,606480,2019-09-16,435319
374,Babushka Boi,A$AP Rocky,631149,2019-09-18,5970158
375,Hate Me (with Juice WRLD),Ellie Goulding,624738,2019-09-19,6999506
376,Esagono (feat. Salmo),Gemitaiz,747774,2019-09-20,1331492
377,Nur mit Dir (feat. Xavier Naidoo),Shirin David,700947,2019-09-20,254301
378,Pin the Grenade,blink-182,696456,2019-09-20,5355771
379,Supera - Ao Vivo,Marília Mendonça,666468,2019-09-21,11272050
380,All Around The World (La La La),R3HAB,666089,2019-09-21,1819163
381,Kein Plan,Loredana,657187,2019-09-21,360354
